row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len
70,Y两优1998,国审稻2015016,2015.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,628.5,,丰两优四号,618.4,6.2,135.9,1.1,125.1,16.6,27.9,204.7,81.0,24.3,3.9,3.9,,感稻瘟病,5.0,中感白叶枯病,9.0,抽穗期耐热性中等,,62.9,1.9,13.0,12.8,75.0,2.9,,,,False,长沙市岳麓区希望农业研究所,409
71,Y两优689（原名：两优689）,浙审稻2011015,2011.0,省审,浙,False,False,True,,单季,,,,两优培九,601.1,4.1,134.7,-0.5,122.9,15.9,25.9,161.7,87.4,27.0,,,,,,,,,,59.2,8.3,37.5,15.0,61.0,3.2,,,部颁,False,温州市农业科学研究院、湖南杂交水稻研究中心、浙江农科种业有限公司、温州市联大农业科技有限公司,559
72,中稻1号,国审稻2010046,2010.0,国审,,False,False,False,粳,,黄淮粳稻组,643.4,4.7,9优418,577.5,0.9,153.5,,104.4,,17.0,151.0,84.2,26.1,,,5.0,,,,,,,62.0,4.2,45.0,17.1,80.5,,,,,False,中国农业科学院作物科学研究所、江苏省连云港市农业科学院,390
73,万丰优 818,国审稻20216022,2021.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟组,697.38,,丰两优四号,692.8,4.84,154.6,,105.6,15.8,23.3,251.5,83.9,24.0,,,5.0,中感稻瘟病,,感白叶枯病,9.0,抽穗期耐热性较 强,耐冷性一般,64.3,1.1,,18.1,60.0,3.5,7.0,2.0,《食用稻品种品质》,False,,1023
74,荃优华占,国审稻20176001,2017.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟组,633.6,,F优498,600.9,5.2,152.8,0.3,105.7,15.6,23.9,190.3,81.6,26.8,,,,中感稻瘟病,,,9.0,,,62.3,0.5,5.0,19.8,86.0,3.0,,1.0,《优质稻谷》,False,,407
75,准两优608,湘审稻2010027,2010.0,省审,湘,True,False,True,籼,晚籼,,,,威优46,,,124.0,,125.0,16.5,,160.0,78.0,31.0,,,,,5.0,,,,,64.2,1.9,14.0,20.2,61.0,3.1,5.8,,,False,湖南隆平种业有限公司、湖南杂交水稻研究中心,396
76,甬优2640,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,3
77,Y两优696,湘审稻2010016,2010.0,省审,湘,True,False,True,籼,中籼,,578.3,6.18,Ⅱ优58,,,143.0,,110.4,,,163.4,87.8,27.5,,,,,,,,,,,,,,81.0,3.3,6.4,,,False,湖南怀化奥谱隆作物育种工程研究所、湖南杂交水稻研究中心,414
78,兆优5431,鄂审稻2015010,2015.0,省审,鄂,True,True,False,籼,中稻,,,,,,,142.1,5.6,127.1,16.9,27.6,188.5,83.6,26.33,3.5,3.5,,中感稻瘟病,5.0,中感白叶枯病,,,,,,,,,,,,,False,,325
79,Y两优1号,,,,,True,False,True,籼,中籼,,,,II优838,,,156.25,,111.5,16.21,,,85.1,26.2,,,,,,,,,,,,,,,,,,,False,湖南省杂交水稻研究中心,231
80,湘两优396,国审稻2012022,2012.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,583.7,,Ⅱ优838,603.0,8.9,128.2,-5.4,116.9,16.3,24.0,176.9,80.4,26.9,6.5,6.5,,高感稻瘟病,7.0,感白叶枯病,9.0,抽穗期耐热性一般,,55.9,13.6,62.3,14.9,70.0,2.8,,,,False,华容县湘亿辉农业科技有限公司,409
81,阳光香稻,豫审稻2007002,2007.0,省审,豫,False,False,False,粳,,,,-6.3,豫粳6号,,,151.0,,,,,136.6,80.0,,,,,,,,,,,,,,,,,,,,False,漯河市阳光种业有限公司,307
